               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.027757,           0.0091857,            0.004082,             0.99854,                   1,               0.995,             0.76356,            0.020715,           0.0040652,           0.0024744,           0.0072874,           0.0072874,           0.0072874
                 139,            0.027935,           0.0091675,            0.003748,             0.99851,                   1,               0.995,              0.7929,            0.020016,           0.0039679,           0.0024879,           0.0072676,           0.0072676,           0.0072676
                 140,            0.027122,           0.0083742,           0.0035559,             0.99816,                   1,               0.995,             0.69098,            0.025255,           0.0042479,           0.0024711,           0.0072478,           0.0072478,           0.0072478
                 141,            0.027389,           0.0081543,           0.0036301,             0.99772,                   1,               0.995,             0.64732,             0.02718,           0.0043756,           0.0024398,            0.007228,            0.007228,            0.007228
                 142,            0.027425,             0.00907,           0.0042334,             0.99759,                   1,               0.995,             0.67742,            0.026607,           0.0042104,           0.0023791,           0.0072082,           0.0072082,           0.0072082
                 143,            0.029289,            0.008915,           0.0048764,             0.99822,                   1,               0.995,             0.68665,              0.0226,           0.0042047,           0.0023267,           0.0071884,           0.0071884,           0.0071884
                 144,            0.027052,           0.0084218,           0.0034203,             0.99845,                   1,               0.995,             0.68933,            0.020667,           0.0040301,           0.0022761,           0.0071686,           0.0071686,           0.0071686
                 145,            0.025614,           0.0084231,           0.0034316,             0.99881,                   1,               0.995,             0.74871,            0.019913,           0.0041066,           0.0022697,           0.0071488,           0.0071488,           0.0071488
                 146,            0.026675,           0.0084554,           0.0028551,             0.99892,                   1,               0.995,             0.64839,            0.026385,           0.0043314,           0.0021914,            0.007129,            0.007129,            0.007129
                 147,            0.027242,           0.0083368,           0.0035229,              0.9988,                   1,               0.995,             0.70882,            0.022417,           0.0041066,           0.0021825,           0.0071092,           0.0071092,           0.0071092
                 148,            0.027639,           0.0078049,            0.002773,             0.99835,                   1,               0.995,             0.73759,            0.020927,           0.0040374,           0.0022409,           0.0070894,           0.0070894,           0.0070894
                 149,            0.026173,           0.0080705,           0.0040167,             0.99804,                   1,               0.995,              0.6998,            0.025847,           0.0041677,           0.0022413,           0.0070696,           0.0070696,           0.0070696
                 150,            0.026189,           0.0078317,           0.0036913,             0.99773,                   1,               0.995,             0.72601,            0.019685,           0.0041951,           0.0023004,           0.0070498,           0.0070498,           0.0070498
                 151,            0.026624,           0.0089034,           0.0048614,              0.9983,                   1,               0.995,              0.7536,            0.020182,           0.0040284,           0.0023326,             0.00703,             0.00703,             0.00703
                 152,            0.026486,           0.0082085,            0.003763,             0.99848,                   1,               0.995,             0.75997,            0.018944,           0.0039824,           0.0023507,           0.0070102,           0.0070102,           0.0070102
